Wall time,Step,Value
1723218785.9942634,0,13.087800979614258
1723218885.7595615,100,18.038475036621094
1723218946.2341242,200,23.704818725585938
1723219005.1023874,300,23.639131546020508
1723219063.9479709,400,21.335912704467773
1723219122.7759547,500,21.203929901123047
1723219222.4011996,600,20.519550323486328
1723219280.9055862,700,21.18692398071289
1723219339.723147,800,19.486032485961914
1723219398.492707,900,19.669015884399414
1723219459.4333878,1000,19.52948570251465
1723219788.0155368,1100,20.656160354614258
1723219849.6340714,1200,20.158817291259766
1723219909.8562086,1300,20.371654510498047
1723219970.071105,1400,21.324331283569336
1723220029.781253,1500,20.480661392211914
1723220090.2070055,1600,21.214391708374023
1723220148.3210948,1700,19.935956954956055
1723220206.4095957,1800,19.588462829589844
1723220264.787825,1900,20.057025909423828
1723220322.817764,2000,20.705657958984375
1723220592.7133508,2100,21.055036544799805
1723220652.224848,2200,20.777175903320312
1723220710.5953784,2300,20.85683822631836
1723220768.7247343,2400,21.56425666809082
1723220826.655379,2500,21.865880966186523
1723220885.2455215,2600,25.32219886779785
1723220942.909253,2700,25.0855655670166
1723221000.677631,2800,25.810489654541016
1723221058.4112203,2900,25.78170394897461
1723221116.2113554,3000,27.095523834228516
1723221399.5401077,3100,26.799358367919922
1723221459.7703495,3200,27.35531997680664
1723221518.4806433,3300,26.247392654418945
1723221576.7436497,3400,25.047277450561523
1723221635.1058643,3500,28.010786056518555
1723221694.0622947,3600,31.641984939575195
1723221752.1750326,3700,29.991207122802734
1723221810.221444,3800,29.630605697631836
1723221868.2584932,3900,27.662790298461914
1723221926.3908095,4000,27.94892692565918
1723222173.833737,4100,29.702922821044922
1723222233.7372184,4200,26.131996154785156
1723222292.275951,4300,27.320573806762695
1723222350.420215,4400,31.14929962158203
1723222408.380715,4500,29.33396339416504
1723222467.174038,4600,31.899581909179688
1723222525.0515497,4700,32.94913864135742
1723222582.9805822,4800,29.263858795166016
1723222640.809616,4900,29.247379302978516
1723222698.612953,5000,30.418272018432617
1723222932.5058289,5100,30.826841354370117
1723222992.2419457,5200,29.807220458984375
1723223051.0662017,5300,32.89568328857422
1723223109.686105,5400,31.089513778686523
1723223168.3749714,5500,30.699996948242188
1723223227.8494394,5600,30.947166442871094
1723223286.0450134,5700,32.75587844848633
1723223344.2212822,5800,31.181171417236328
1723223402.3919487,5900,30.696619033813477
1723223460.802389,6000,34.03032684326172
1723223681.421477,6100,33.7123908996582
1723223739.3713117,6200,31.642597198486328
1723223797.7602766,6300,34.124000549316406
1723223856.5398495,6400,35.32259750366211
1723223915.0771723,6500,32.59122848510742
1723223974.7236278,6600,34.002986907958984
1723224033.4339528,6700,32.391780853271484
1723224092.159874,6800,33.94915771484375
1723224151.0440176,6900,35.3592414855957
1723224209.7814534,7000,34.614131927490234
1723224446.9579577,7100,33.867305755615234
1723224507.9517977,7200,34.869041442871094
1723224567.2892904,7300,34.47634506225586
1723224626.2964377,7400,35.72793960571289
1723224685.2326646,7500,34.02470779418945
1723224745.131252,7600,35.80307388305664
1723224803.734784,7700,35.64651107788086
1723224862.2772968,7800,37.50453567504883
1723224920.7857568,7900,33.8470573425293
1723224979.4258482,8000,35.72891616821289
1723225221.0605965,8100,34.86222457885742
1723225281.798395,8200,37.10158157348633
1723225341.1850424,8300,37.03378677368164
1723225400.1182287,8400,35.29095458984375
1723225459.070441,8500,35.941707611083984
1723225518.4280443,8600,34.134681701660156
1723225576.7464488,8700,36.9271354675293
1723225635.546903,8800,36.44441604614258
1723225693.975301,8900,36.27484893798828
1723225752.262465,9000,36.094364166259766
1723225996.7232027,9100,38.41865539550781
1723226054.5099967,9200,36.36913299560547
1723226112.2130916,9300,37.357967376708984
1723226170.2918887,9400,34.7484016418457
1723226228.442017,9500,36.61414337158203
