Wall time,Step,Value
1723252804.5415995,0,0.125
1723252918.7421136,100,0.22500000894069672
1723253026.5382223,200,0.20000000298023224
1723253134.863492,300,0.20000000298023224
1723253242.7853987,400,0.20000000298023224
1723253350.459822,500,0.20000000298023224
1723253468.8263507,600,0.20000000298023224
1723253576.5657873,700,0.20000000298023224
1723253683.6687782,800,0.20000000298023224
1723253791.0202851,900,0.20000000298023224
1723253898.7976394,1000,0.20000000298023224
1723254125.478412,1100,0.20000000298023224
1723254233.3092196,1200,0.20000000298023224
1723254340.925526,1300,0.20000000298023224
1723254448.7823591,1400,0.20000000298023224
1723254556.258471,1500,0.20000000298023224
1723254666.1710293,1600,0.15000000596046448
1723254773.8212993,1700,0.22499999403953552
1723254881.1766276,1800,0.20000000298023224
1723254988.55431,1900,0.17499999701976776
1723255096.4389513,2000,0.17500001192092896
1723255316.7468283,2100,0.10000000149011612
1723255424.2621584,2200,0.17499999701976776
1723255532.4464664,2300,0.125
1723255640.499968,2400,0.2750000059604645
1723255748.7740004,2500,0.22499999403953552
1723255858.047371,2600,0.30000001192092896
1723255965.9656606,2700,0.2750000059604645
1723256073.4854605,2800,0.15000000596046448
1723256180.6633062,2900,0.22500000894069672
1723256288.1796463,3000,0.25
1723256511.1517556,3100,0.17500001192092896
1723256619.8070898,3200,0.15000000596046448
1723256727.885791,3300,0.32500001788139343
1723256836.4818215,3400,0.20000000298023224
1723256945.0726402,3500,0.20000000298023224
1723257055.7319396,3600,0.25
1723257164.2636063,3700,0.25
1723257272.879623,3800,0.17500001192092896
1723257381.7887077,3900,0.2750000059604645
1723257491.0840502,4000,0.20000000298023224
1723257713.3915162,4100,0.22499999403953552
1723257821.2953508,4200,0.17499999701976776
1723257929.8400552,4300,0.20000000298023224
1723258038.0079284,4400,0.2750000059604645
1723258146.5107694,4500,0.17500001192092896
1723258257.0510175,4600,0.17500001192092896
1723258365.510693,4700,0.3500000238418579
1723258474.0953248,4800,0.20000000298023224
1723258582.42875,4900,0.20000000298023224
1723258691.2220368,5000,0.15000000596046448
1723258914.2165601,5100,0.25
1723259022.667244,5200,0.15000000596046448
1723259131.483264,5300,0.32499998807907104
1723259239.5589137,5400,0.17499999701976776
1723259347.56473,5500,0.22500000894069672
1723259458.1032114,5600,0.25
1723259566.3233268,5700,0.15000000596046448
1723259674.561154,5800,0.25
1723259783.8608654,5900,0.07500000298023224
1723259891.9073286,6000,0.17500001192092896
1723260109.4780567,6100,0.125
1723260216.8489375,6200,0.17499999701976776
1723260324.545715,6300,0.22499999403953552
1723260432.3364842,6400,0.20000000298023224
1723260539.8722773,6500,0.17500001192092896
1723260649.3880308,6600,0.32499998807907104
1723260757.9448225,6700,0.2750000059604645
1723260866.3100564,6800,0.25
1723260973.9273508,6900,0.20000000298023224
1723261081.9197118,7000,0.20000000298023224
1723261299.3314645,7100,0.25
1723261407.527443,7200,0.22500000894069672
1723261515.8612876,7300,0.22500000894069672
1723261623.825815,7400,0.17500001192092896
1723261731.7143302,7500,0.22500000894069672
1723261841.4295516,7600,0.25
1723261950.1865158,7700,0.17500001192092896
1723262057.881737,7800,0.10000000149011612
1723262165.7843764,7900,0.2750000059604645
1723262273.7451992,8000,0.20000000298023224
1723262488.4371128,8100,0.30000001192092896
1723262595.7559779,8200,0.22499999403953552
1723262703.377347,8300,0.17500001192092896
1723262811.6724095,8400,0.22500000894069672
1723262919.8064299,8500,0.07500000298023224
1723263029.1795568,8600,0.22499999403953552
1723263136.930933,8700,0.17499999701976776
1723263244.9082665,8800,0.2750000059604645
1723263352.4800222,8900,0.22500000894069672
1723263460.7874403,9000,0.25
1723263675.8394847,9100,0.15000000596046448
1723263784.754127,9200,0.32499998807907104
1723263893.1333516,9300,0.25
1723264001.3030956,9400,0.15000000596046448
1723264109.328363,9500,0.125
1723264219.8691273,9600,0.10000000149011612
1723264327.8702803,9700,0.2750000059604645
1723264435.8516383,9800,0.25
1723264544.5386477,9900,0.20000000298023224
1723264652.528351,10000,0.22499999403953552
1723264865.377632,10100,0.2750000059604645
1723264974.4380484,10200,0.30000001192092896
1723265083.1802819,10300,0.15000000596046448
1723265192.3539288,10400,0.10000000149011612
1723265300.156595,10500,0.2750000059604645
1723265410.0636683,10600,0.17500001192092896
1723265518.644593,10700,0.17500001192092896
1723265627.422136,10800,0.17499999701976776
1723265736.8154805,10900,0.15000000596046448
1723265845.1223366,11000,0.30000001192092896
1723266057.8696263,11100,0.2750000059604645
1723266166.599024,11200,0.22500000894069672
1723266274.1910126,11300,0.20000000298023224
1723266382.2676778,11400,0.25
1723266490.491453,11500,0.17500001192092896
1723266600.7262466,11600,0.20000000298023224
1723266709.7998679,11700,0.22499999403953552
1723266818.012901,11800,0.10000000149011612
1723266926.6697218,11900,0.17500001192092896
1723267035.2334278,12000,0.20000000298023224
1723267248.1692314,12100,0.15000000596046448
1723267356.1471918,12200,0.22499999403953552
1723267464.9555767,12300,0.22500000894069672
1723267573.58272,12400,0.17500001192092896
1723267681.518115,12500,0.20000000298023224
